id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,poster_url,backdrop_url,release_year,release_month,popularity_level,rating_level,genres,genres_str
278,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",25.090900421142578,1994-09-23,The Shawshank Redemption,8.711000442504883,29169,https://image.tmdb.org/t/p/w342/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/w780/v8xVDqt8uCul3c3mgx4VpGCwxJC.jpg,1994,9,very high,excellent,"['Drama', 'Crime']","Drama, Crime"
238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",26.628799438476562,1972-03-14,The Godfather,8.6850004196167,22035,https://image.tmdb.org/t/p/w342/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://image.tmdb.org/t/p/w780/jdHsptJbtalEuVhCV5i7kSC3g0x.jpg,1972,3,very high,excellent,"['Drama', 'Crime']","Drama, Crime"
240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",12.450300216674805,1974-12-20,The Godfather Part II,8.571999549865723,13318,https://image.tmdb.org/t/p/w342/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://image.tmdb.org/t/p/w780/kGzFbGhp99zva6oZODW5atUtnqi.jpg,1974,12,very high,excellent,"['Drama', 'Crime']","Drama, Crime"
424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,10.518699645996094,1993-12-15,Schindler's List,8.565999984741211,16839,https://image.tmdb.org/t/p/w342/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://image.tmdb.org/t/p/w780/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,1993,12,very high,excellent,"['Drama', 'History', 'War']","Drama, History, War"
389,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",8.230899810791016,1957-04-10,12 Angry Men,8.54800033569336,9507,https://image.tmdb.org/t/p/w342/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/w780/tj6iPnz18hGfr0LKqWmG6Cp3niO.jpg,1957,4,very high,excellent,['Drama'],Drama
129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",17.21929931640625,2001-07-20,Spirited Away,8.534000396728516,17611,https://image.tmdb.org/t/p/w342/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,https://image.tmdb.org/t/p/w780/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg,2001,7,very high,excellent,"['Animation', 'Family', 'Fantasy']","Animation, Family, Fantasy"
155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",30.977699279785156,2008-07-16,The Dark Knight,8.52400016784668,34667,https://image.tmdb.org/t/p/w342/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://image.tmdb.org/t/p/w780/enNubozHn9pXi0ycTVYUWfpHZm.jpg,2008,7,very high,excellent,"['Drama', 'Action', 'Crime', 'Thriller']","Drama, Action, Crime, Thriller"
19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",6.52209997177124,1995-10-20,Dilwale Dulhania Le Jayenge,8.5,4518,https://image.tmdb.org/t/p/w342/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://image.tmdb.org/t/p/w780/zQDFHYNVVVp9OAYSixYAG1SyX1l.jpg,1995,10,very high,good,"['Comedy', 'Drama', 'Romance']","Comedy, Drama, Romance"
497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",15.952699661254883,1999-12-10,The Green Mile,8.501999855041504,18524,https://image.tmdb.org/t/p/w342/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg,https://image.tmdb.org/t/p/w780/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,1999,12,very high,excellent,"['Fantasy', 'Drama', 'Crime']","Fantasy, Drama, Crime"
496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",16.545400619506836,2019-05-30,Parasite,8.496000289916992,19675,https://image.tmdb.org/t/p/w342/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,https://image.tmdb.org/t/p/w780/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,2019,5,very high,good,"['Comedy', 'Thriller', 'Drama']","Comedy, Thriller, Drama"
